,APMC,Commodity,2014,2015,2016
0,Aamgaon,paddy-unhusked,1843,1733,1733
1,Aarni,gram,2575,4490,4490
2,Aarni,ground nut pods (dry),3964,5932,5932
3,Aarni,pigeon pea (tur),4910,10775,10775
4,Aarni,soybean,3450,3800,3800
5,Aarni,wheat(husked),1545,1510,1510
6,Achalpur,black gram,4667,8500,8500
7,Achalpur,gram,2738,4700,4700
8,Achalpur,green gram,8050,7038,7038
9,Achalpur,lentil,4300,6250,6250
10,Achalpur,maize,1400,1500,1500
11,Achalpur,mustard,0,3308,3308
12,Achalpur,pigeon pea (tur),5138,9517,9517
13,Achalpur,sesamum,12250,8500,8500
14,Achalpur,sorgum(jawar),1560,1570,1570
15,Achalpur,soybean,3279,4000,4000
16,Achalpur,wheat(husked),1706,1800,1800
17,Aheri,batbati,3500,4500,4500
18,Aheri,cotton,4000,4030,4030
19,Aheri,gram,3000,3800,3800
20,Aheri,green gram,5867,6267,6267
21,Aheri,maize,1296,1300,1300
22,Aheri,matki,5000,6000,6000
23,Aheri,paddy-unhusked,1850,1883,1883
24,Aheri,pigeon pea (tur),4000,7000,7000
25,Aheri,rice(paddy-hus),2043,2625,2625
26,Aheri,sesamum,7429,9250,9250
27,Aheri,sorgum(jawar),1400,1400,1400
28,Aheri,soybean,3000,3470,3470
29,Ahmednagar,bajri,1750,1800,1800
30,Ahmednagar,bitter gourd,0,3833,3833
31,Ahmednagar,black gram,4960,10160,10160
32,Ahmednagar,bottle gourd,0,1380,1380
33,Ahmednagar,brinjal,0,2909,2909
34,Ahmednagar,cabbage,0,1473,1473
35,Ahmednagar,capsicum,0,3375,3375
36,Ahmednagar,carrot,0,3600,3600
37,Ahmednagar,castor seed,0,3750,3750
38,Ahmednagar,chillies(red),0,11813,11813
39,Ahmednagar,cluster bean,0,6136,6136
40,Ahmednagar,coriander (dry),0,12000,12000
41,Ahmednagar,cowpea,0,6200,6200
42,Ahmednagar,cucumber,0,1618,1618
43,Ahmednagar,flower,0,3686,3686
44,Ahmednagar,garlic,0,12200,12200
45,Ahmednagar,ghevda,0,5375,5375
46,Ahmednagar,ghosali(bhaji),0,3625,3625
47,Ahmednagar,ginger (fresh),0,3500,3500
48,Ahmednagar,gram,2732,5263,5263
49,Ahmednagar,green chilli,0,4417,4417
50,Ahmednagar,green gram,8020,8836,8836
51,Ahmednagar,green peas (dry),0,6000,6000
52,Ahmednagar,ground nut pods (dry),0,4350,4350
53,Ahmednagar,horse gram,3261,8850,8850
54,Ahmednagar,jaggery,0,3100,3100
55,Ahmednagar,ladies finger,0,3570,3570
56,Ahmednagar,lemon,0,3244,3244
57,Ahmednagar,maize(corn.),0,1125,1125
58,Ahmednagar,maize,1484,2019,2019
59,Ahmednagar,matki,7400,9000,9000
60,Ahmednagar,mustard,0,3900,3900
61,Ahmednagar,onion,2350,3390,3390
62,Ahmednagar,pigeon pea (tur),4440,10175,10175
63,Ahmednagar,potato,0,2227,2227
64,Ahmednagar,sorgum(jawar),2713,2718,2718
65,Ahmednagar,soybean,3217,3741,3741
66,Ahmednagar,spinach,0,7,7
67,Ahmednagar,squash gourd,0,0,0
68,Ahmednagar,tamarind seed,0,1664,1664
69,Ahmednagar,tamarind,0,9309,9309
70,Ahmednagar,tomato,0,3190,3190
71,Ahmednagar,wheat(husked),1785,2075,2075
72,Ahmedpur,bajri,0,1346,1346
73,Ahmedpur,black gram,5376,10041,10041
74,Ahmedpur,gram,2358,5529,5529
75,Ahmedpur,green gram,7535,8894,8894
76,Ahmedpur,ground nut pods (dry),0,6083,6083
77,Ahmedpur,hemp-seed,1326,1918,1918
78,Ahmedpur,maize,1348,1467,1467
79,Ahmedpur,neem-seed,0,778,778
80,Ahmedpur,niger-seed,0,7687,7687
81,Ahmedpur,paddy-unhusked,851,1410,1410
82,Ahmedpur,pigeon pea (tur),4673,10678,10678
83,Ahmedpur,rice(paddy-hus),1551,1631,1631
84,Ahmedpur,safflower,2351,2520,2520
85,Ahmedpur,sesamum,10133,7310,7310
86,Ahmedpur,sorgum(jawar),1808,1920,1920
87,Ahmedpur,soybean,3348,3789,3789
88,Ahmedpur,sunflower,4461,3770,3770
89,Ahmedpur,tamarind seed,0,1522,1522
90,Ahmedpur,wheat(husked),1441,1570,1570
91,Akhadabalapur,castor seed,0,3320,3320
92,Akhadabalapur,cotton,4159,4220,4220
93,Akhadabalapur,gram,3280,4250,4250
94,Akhadabalapur,pigeon pea (tur),4217,7825,7825
95,Akhadabalapur,sorgum(jawar),1600,1650,1650
96,Akhadabalapur,soybean,3755,3500,3500
97,Akhadabalapur,turmeric,5300,7500,7500
98,Akhadabalapur,wheat(husked),1825,1838,1838
